                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.80694,                0.68793,                 1.0952,                0.65899,                0.77961,                0.74125,                0.62801,                0.61763,                0.48331,                0.97883,               0.005446,               0.005446,               0.005446
                     48,                0.79572,                0.67918,                  1.088,                0.73484,                0.73756,                0.75224,                0.63383,                0.61317,                0.47355,                0.97701,               0.005347,               0.005347,               0.005347
                     49,                0.79202,                0.67399,                 1.0821,                 0.7444,                0.72672,                0.74671,                0.63642,                0.59932,                0.47067,                0.96834,               0.005248,               0.005248,               0.005248
                     50,                0.78908,                0.67151,                 1.0819,                0.71539,                0.73572,                 0.7462,                0.63679,                0.60031,                0.47761,                0.96912,               0.005149,               0.005149,               0.005149
                     51,                0.77688,                0.65131,                 1.0692,                0.71945,                0.73883,                0.75338,                0.64676,                 0.5985,                0.47591,                0.96827,                0.00505,                0.00505,                0.00505
                     52,                0.78636,                 0.6512,                 1.0812,                0.72558,                 0.7456,                0.76176,                0.65235,                0.60125,                 0.4669,                0.96988,               0.004951,               0.004951,               0.004951
                     53,                0.77299,                0.64429,                 1.0694,                 0.6893,                0.76604,                0.73942,                0.63115,                0.58752,                0.48286,                0.96134,               0.004852,               0.004852,               0.004852
                     54,                0.77162,                0.64232,                 1.0708,                0.71316,                0.76283,                0.76978,                0.66162,                0.58587,                0.44975,                0.95965,               0.004753,               0.004753,               0.004753
                     55,                0.77191,                0.64073,                 1.0706,                0.77242,                0.70152,                0.75662,                0.64637,                0.58234,                0.46532,                0.95269,               0.004654,               0.004654,               0.004654
                     56,                0.76182,                0.62589,                  1.066,                0.73863,                0.73252,                0.74648,                0.63875,                0.58964,                0.46506,                0.96295,               0.004555,               0.004555,               0.004555
                     57,                0.76739,                0.62475,                 1.0683,                0.73419,                0.74808,                0.74824,                0.63896,                0.58398,                0.45656,                0.95851,               0.004456,               0.004456,               0.004456
                     58,                0.76449,                0.61458,                 1.0659,                0.75016,                0.73776,                0.74643,                0.63792,                0.58663,                0.44896,                0.95914,               0.004357,               0.004357,               0.004357
                     59,                0.75372,                0.61802,                 1.0629,                0.70819,                0.76668,                0.75724,                0.64851,                0.58219,                0.45264,                0.96105,               0.004258,               0.004258,               0.004258
                     60,                0.75519,                0.61476,                 1.0654,                0.70056,                0.78669,                0.75924,                0.65005,                0.58004,                0.45529,                0.95989,               0.004159,               0.004159,               0.004159
                     61,                0.75372,                0.60602,                 1.0651,                0.72175,                0.75775,                0.76272,                0.65067,                0.58575,                0.45773,                0.96599,                0.00406,                0.00406,                0.00406
                     62,                0.74717,                0.60485,                 1.0607,                   0.72,                0.75336,                0.75923,                0.65318,                0.57644,                0.44913,                0.95919,               0.003961,               0.003961,               0.003961
                     63,                0.73786,                0.59059,                 1.0536,                0.70741,                0.76926,                0.75845,                0.65673,                  0.573,                0.45154,                0.95751,               0.003862,               0.003862,               0.003862
                     64,                0.73251,                 0.5886,                 1.0585,                0.74098,                0.75325,                0.77482,                 0.6663,                0.57607,                 0.4425,                0.96274,               0.003763,               0.003763,               0.003763
                     65,                0.72802,                0.58185,                 1.0501,                0.73111,                  0.752,                0.76813,                0.66432,                0.56735,                0.43931,                0.95553,               0.003664,               0.003664,               0.003664
                     66,                0.72841,                 0.5803,                 1.0494,                  0.755,                0.74763,                0.76768,                0.66026,                0.57219,                0.43715,                0.95471,               0.003565,               0.003565,               0.003565
                     67,                0.73057,                 0.5795,                 1.0424,                0.74494,                0.76336,                0.77526,                0.66988,                0.57434,                0.43639,                0.95514,               0.003466,               0.003466,               0.003466
                     68,                0.72356,                 0.5764,                 1.0412,                0.75557,                0.74462,                0.77318,                 0.6686,                0.57612,                0.43597,                0.95672,               0.003367,               0.003367,               0.003367
                     69,                0.72462,                0.56788,                 1.0488,                 0.7314,                0.76967,                0.77046,                0.66632,                0.57171,                0.43506,                0.95559,               0.003268,               0.003268,               0.003268
                     70,                 0.7085,                0.55176,                  1.037,                0.74751,                0.74009,                0.76966,                0.66845,                 0.5745,                0.44122,                0.95741,               0.003169,               0.003169,               0.003169
                     71,                0.70873,                0.54976,                  1.033,                0.74594,                0.74698,                0.76829,                0.66582,                0.57525,                0.44131,                0.95715,                0.00307,                0.00307,                0.00307
                     72,                0.71451,                0.56002,                 1.0432,                0.71728,                0.76454,                0.76462,                 0.6616,                0.56863,                0.43762,                0.95594,               0.002971,               0.002971,               0.002971
                     73,                0.70733,                0.54586,                 1.0319,                0.70589,                0.77567,                0.76546,                0.66594,                0.56664,                0.44645,                0.95103,               0.002872,               0.002872,               0.002872
                     74,                0.69745,                0.54541,                 1.0332,                0.75133,                0.73197,                0.76757,                0.66953,                0.56974,                0.43969,                0.95493,               0.002773,               0.002773,               0.002773
                     75,                0.69249,                0.53214,                 1.0254,                0.76413,                0.76239,                0.77349,                0.67066,                0.56816,                0.43937,                0.95321,               0.002674,               0.002674,               0.002674
