                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.96959,                0.74668,                 1.1593,                0.67124,                 0.4905,                0.52329,                0.41222,                0.84207,                0.56736,                 1.0708,               0.005149,               0.005149,               0.005149
                     52,                0.96462,                0.74337,                 1.1579,                0.63369,                0.50309,                0.51615,                0.40678,                0.83687,                0.56893,                 1.0736,                0.00505,                0.00505,                0.00505
                     53,                0.95676,                0.73403,                 1.1494,                0.44496,                0.56348,                0.53142,                 0.4197,                0.83881,                0.56172,                 1.0644,               0.004951,               0.004951,               0.004951
                     54,                0.96899,                0.73869,                 1.1527,                0.46261,                 0.5411,                0.53282,                0.42092,                0.83301,                0.55199,                 1.0626,               0.004852,               0.004852,               0.004852
                     55,                0.94369,                0.71947,                 1.1457,                  0.693,                0.50359,                0.53107,                0.41996,                0.83429,                0.55827,                 1.0685,               0.004753,               0.004753,               0.004753
                     56,                0.95489,                0.71741,                 1.1434,                0.70176,                0.49775,                0.52595,                0.41755,                0.84378,                0.55036,                  1.068,               0.004654,               0.004654,               0.004654
                     57,                0.94161,                0.71512,                 1.1454,                0.52621,                0.48516,                0.52575,                0.41567,                0.84255,                0.56057,                 1.0692,               0.004555,               0.004555,               0.004555
                     58,                0.94578,                0.71796,                 1.1466,                0.46148,                0.57389,                0.53219,                0.41806,                0.83941,                0.55572,                 1.0735,               0.004456,               0.004456,               0.004456
                     59,                0.93805,                0.69572,                 1.1415,                0.49221,                0.56054,                0.53724,                0.42175,                0.84694,                0.54969,                  1.073,               0.004357,               0.004357,               0.004357
                     60,                0.93896,                0.70286,                 1.1405,                0.53216,                0.52734,                0.53539,                0.42423,                0.83639,                0.55024,                 1.0708,               0.004258,               0.004258,               0.004258
                     61,                0.93025,                0.69618,                 1.1382,                0.48383,                0.53518,                0.53277,                0.41924,                0.83932,                0.55486,                 1.0724,               0.004159,               0.004159,               0.004159
                     62,                0.92712,                0.70521,                 1.1396,                0.46914,                0.52665,                0.52461,                0.41439,                0.84015,                0.55603,                 1.0744,                0.00406,                0.00406,                0.00406
                     63,                0.92495,                0.69694,                 1.1356,                0.47668,                0.53979,                0.52977,                0.41859,                0.84039,                0.55187,                 1.0751,               0.003961,               0.003961,               0.003961
                     64,                0.91709,                0.67811,                 1.1282,                0.50119,                 0.5155,                0.53381,                  0.423,                0.83489,                0.54762,                 1.0695,               0.003862,               0.003862,               0.003862
                     65,                0.92322,                0.66951,                 1.1362,                0.47752,                0.53121,                 0.5271,                0.41877,                0.83214,                0.54368,                  1.072,               0.003763,               0.003763,               0.003763
                     66,                0.91912,                0.66419,                 1.1321,                0.47624,                0.51965,                 0.5262,                0.41696,                0.83227,                0.54291,                 1.0721,               0.003664,               0.003664,               0.003664
                     67,                0.91935,                0.67596,                 1.1327,                0.48887,                0.50436,                0.52141,                0.41443,                0.83456,                0.55205,                 1.0752,               0.003565,               0.003565,               0.003565
                     68,                0.91229,                0.66364,                 1.1256,                0.47331,                0.52406,                0.52952,                0.42149,                0.83186,                 0.5447,                 1.0728,               0.003466,               0.003466,               0.003466
